artist,song,section,url,chord_progression
Rhianna,We Found Love Ft Calvin Harris,Chorus,http://www.hooktheory.com/theorytab/view/rhianna-/we-found-love-ft-calvin-harris-#chorus,"1,16,1,16"
Animal Collective,Bluish,Bridge,http://www.hooktheory.com/theorytab/view/animal-collective/bluish#bridge,"1,16,1,16"
Tame Impala,Yes I'm Changing,Intro,http://www.hooktheory.com/theorytab/view/tame-impala/yes-im-changing#intro,"1,16,1,16"
Tame Impala,Yes I'm Changing,Verse,http://www.hooktheory.com/theorytab/view/tame-impala/yes-im-changing#verse,"1,16,1,16"
Franz Gruber,Silent Night,Verse,http://www.hooktheory.com/theorytab/view/franz-gruber/silent-night#verse,"1,16,1,16"
Matt Nathanson,Come On Get Higher,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/matt-nathanson/come-on-get-higher#verse-and-pre-chorus,"1,16,4,1"
Jesse McCartney,Beautiful Soul,Chorus,http://www.hooktheory.com/theorytab/view/jesse-mccartney/beautiful-soul#chorus,"1,16,4,1"
Tamas Wells,Lichen and Bees,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/tamas-wells/lichen-and-bees#verse-and-pre-chorus,"1,16,4,1"
Game Freak,Route 201 Day,Intro and Verse,http://www.hooktheory.com/theorytab/view/game-freak/route-201-day#intro-and-verse,"1,16,4,1"
Nintendo,Yoshi's Woolly World - Knitty Knotty Windmill,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/nintendo/yoshis-woolly-world---knitty-knotty-windmill#verse-and-pre-chorus,"1,16,4,1"
Drake Bell,In The End,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/drake-bell/in-the-end#verse-and-pre-chorus,"1,16,4,1"
Enter Shikari,Hectic,Intro,http://www.hooktheory.com/theorytab/view/enter-shikari/hectic#intro,"1,16,4,6"
Bear in the Big Blue House,Goodbye Song,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/bear-in-the-big-blue-house/goodbye-song#verse-and-pre-chorus,"1,16,4,6"
Regina Spektor,The Calculation,Verse,http://www.hooktheory.com/theorytab/view/regina-spektor/the-calculation#verse,"1,16,4,6"
Lord Huron,The Stranger,Chorus,http://www.hooktheory.com/theorytab/view/lord-huron/the-stranger#chorus,"1,16,4,6"
Britt Nicole,Gold,Chorus,http://www.hooktheory.com/theorytab/view/britt-nicole/gold#chorus,"1,16,4,6"
Kenny Chesney,The Road And The Radio,Verse,http://www.hooktheory.com/theorytab/view/kenny-chesney/the-road-and-the-radio#verse,"1,16,4,5"
Michael Jackson,Man In The Mirror,Chorus,http://www.hooktheory.com/theorytab/view/michael-jackson/man-in-the-mirror#chorus,"1,16,4,5"
Procol Harum,A Whiter Shade of Pale,Intro,http://www.hooktheory.com/theorytab/view/procol-harum/a-whiter-shade-of-pale#intro,"1,16,4,5"
ZUN,A Tiny Tiny Clever Commander,Intro,http://www.hooktheory.com/theorytab/view/zun/a-tiny-tiny-clever-commander#intro,"1,16,4,5"
Game Freak,Route 209,Verse,http://www.hooktheory.com/theorytab/view/game-freak/route-209#verse,"1,16,4,5"
The Living Tombstone,Five Nights at Freddy's,Chorus,http://www.hooktheory.com/theorytab/view/the-living-tombstone/five-nights-at-freddys#chorus,"1,16,4,5"
Ed Sheeran,Thinking Out Loud,Pre-Chorus,http://www.hooktheory.com/theorytab/view/ed-sheeran/thinking-out-loud#pre-chorus,"1,16,4,5"
LunchMoney Lewis,Bills,Chorus,http://www.hooktheory.com/theorytab/view/lunchmoney-lewis/bills#chorus,"1,16,4,5"
Scritti Politti,Perfect Way,Verse,http://www.hooktheory.com/theorytab/view/scritti-politti/perfect-way#verse,"1,16,4,5"
Blue Swede,Hooked On A Feeling,Chorus,http://www.hooktheory.com/theorytab/view/blue-swede/hooked-on-a-feeling#chorus,"1,16,4,5"
Nintendo,The Great Sea,Verse,http://www.hooktheory.com/theorytab/view/nintendo/the-great-sea#verse,"1,16,4,5"
Lita Ford,Kiss Me Deadly,Chorus,http://www.hooktheory.com/theorytab/view/lita-ford/kiss-me-deadly#chorus,"1,16,4,5"
Polly Paulusma,Over The Hill,Verse,http://www.hooktheory.com/theorytab/view/polly-paulusma/over-the-hill#verse,"1,16,4,5"
ryo,Black Rock Shooter,Chorus,http://www.hooktheory.com/theorytab/view/ryo/black-rock-shooter#chorus,"1,16,4,5"
Sigala,Say You Do,Chorus,http://www.hooktheory.com/theorytab/view/sigala/say-you-do#chorus,"1,16,4,5"
Adele,When We Were Young,Chorus,http://www.hooktheory.com/theorytab/view/adele/when-we-were-young#chorus,"1,16,4,5"
Hozier,Someone New,Verse,http://www.hooktheory.com/theorytab/view/hozier/someone-new#verse,"1,16,4,5"
Rush,Animate,Chorus,http://www.hooktheory.com/theorytab/view/rush/animate#chorus,"1,16,4,5"
Muse,Blackout,Verse,http://www.hooktheory.com/theorytab/view/muse/blackout#verse,"1,16,4,5"
Kylie Minogue,I Should Be So Lucky,Chorus,http://www.hooktheory.com/theorytab/view/kylie-minogue/i-should-be-so-lucky#chorus,"1,16,4,5"
Van Halen,Right Now,Chorus,http://www.hooktheory.com/theorytab/view/van-halen/right-now#chorus,"1,16,4,5"
Hiromori Hayashi,Kimigayo,Verse,http://www.hooktheory.com/theorytab/view/hiromori-hayashi/kimigayo#verse,"1,16,4,2"
Toby Fox,Hopes And Dreams,Intro,http://www.hooktheory.com/theorytab/view/toby-fox/hopes-and-dreams#intro,"1,16,4,2"
Koji Kondo,Super Mario 64 Main Theme,Verse,http://www.hooktheory.com/theorytab/view/koji-kondo/super-mario-64-main-theme#verse,"1,16,4,3"
Shoji Meguro,Persona 4 Golden - Snowflakes,Verse,http://www.hooktheory.com/theorytab/view/shoji-meguro/persona-4-golden---snowflakes#verse,"1,16,4,3"
Extreme,More Than Words,Intro,http://www.hooktheory.com/theorytab/view/extreme/more-than-words#intro,"1,16,4,27"
U2,Original Of The Species,Outro,http://www.hooktheory.com/theorytab/view/u2/original-of-the-species#outro,"1,16,4,27"
Joe Cocker and Jennifer Warnes,Up Where We Belong,Chorus,http://www.hooktheory.com/theorytab/view/joe-cocker-and-jennifer-warnes/up-where-we-belong#chorus,"1,16,4,67"
Elton John,Levon,Pre-Chorus,http://www.hooktheory.com/theorytab/view/elton-john/levon#pre-chorus,"1,16,4,16"
Robert Burns,Auld Lang Syne,Chorus,http://www.hooktheory.com/theorytab/view/robert-burns/auld-lang-syne#chorus,"1,16,4,16"
Tom Hangs 'Avicii' - Shermanology,Blessed,Chorus,http://www.hooktheory.com/theorytab/view/tom-hangs-avicii---shermanology/blessed#chorus,"1,16,4,16"
Tom Hangs 'Avicii' - Shermanology,Blessed,Outro,http://www.hooktheory.com/theorytab/view/tom-hangs-avicii---shermanology/blessed#outro,"1,16,4,16"
U2,Stuck in a Moment You Can't Get Out Of,Verse,http://www.hooktheory.com/theorytab/view/u2/stuck-in-a-moment-you-cant-get-out-of#verse,"1,16,4,16"
Nintendo,Super Mario Galaxy - Gusty Garden Galaxy,Intro and Verse,http://www.hooktheory.com/theorytab/view/nintendo/super-mario-galaxy---gusty-garden-galaxy#intro-and-verse,"1,16,4,16"
Nintendo,Kirby's Epic Yarn - Big-Bean Vine,Chorus,http://www.hooktheory.com/theorytab/view/nintendo/kirbys-epic-yarn---big-bean-vine#chorus,"1,16,4,16"
Kanye West,Bound 2,Intro,http://www.hooktheory.com/theorytab/view/kanye-west/bound-2#intro,"1,16,4,16"
Yukari Tamura,Stardust Witch Meruru - Meteo Impact,Chorus,http://www.hooktheory.com/theorytab/view/yukari-tamura/stardust-witch-meruru---meteo-impact#chorus,"1,16,4,16"
Sick Individuals - Axwell,I am,Chorus,http://www.hooktheory.com/theorytab/view/sick-individuals---axwell/i-am#chorus,"1,16,4,16"
Barry De Vorzon,Simon And Simon Theme,Bridge,http://www.hooktheory.com/theorytab/view/barry-de-vorzon/simon-and-simon-theme#bridge,"1,16,4,16"
Weather Report,Birdland,Chorus,http://www.hooktheory.com/theorytab/view/weather-report/birdland#chorus,"1,16,6,16"
Kristen Bell and Idina Menzel,For the First Time in Forever,Verse,http://www.hooktheory.com/theorytab/view/kristen-bell-and-idina-menzel/for-the-first-time-in-forever#verse,"1,16,5,1"
Regina Spektor,The Calculation,Chorus,http://www.hooktheory.com/theorytab/view/regina-spektor/the-calculation#chorus,"1,16,5,1"
White Town,Once I Flew,Verse,http://www.hooktheory.com/theorytab/view/white-town/once-i-flew#verse,"1,16,5,1"
Wolfgang Amadeus Mozart,Sonata no 11 in A major - III 'Rondo Alla Turca',Verse,http://www.hooktheory.com/theorytab/view/wolfgang-amadeus-mozart/sonata-no-11-in-a-major---iii-rondo-alla-turca#verse,"1,16,5,1"
Christopher Tin,Baba Yetu,Bridge,http://www.hooktheory.com/theorytab/view/christopher-tin/baba-yetu#bridge,"1,16,5,6"
Koji Kondo,Yoshi's Island - Map Theme,Chorus,http://www.hooktheory.com/theorytab/view/koji-kondo/yoshis-island---map-theme#chorus,"1,16,2,1"
The Killers,Smile Like You Mean It,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/the-killers/smile-like-you-mean-it#verse-and-pre-chorus,"1,16,2,6"
Madonna,Material Girl,Verse,http://www.hooktheory.com/theorytab/view/madonna/material-girl#verse,"1,16,2,5"
BIGBANG,Bae Bae,Chorus,http://www.hooktheory.com/theorytab/view/bigbang/bae-bae#chorus,"1,16,2,5"
Edward Jones,The March of the Men of Harlech,Verse,http://www.hooktheory.com/theorytab/view/edward-jones/the-march-of-the-men-of-harlech#verse,"1,16,2,16"
Ludwig van Beethoven,Rage Over a Lost Penny,Pre-Chorus,http://www.hooktheory.com/theorytab/view/ludwig-van-beethoven/rage-over-a-lost-penny#pre-chorus,"1,16,2,16"
Flo Rida,Wild Ones,Chorus,http://www.hooktheory.com/theorytab/view/flo-rida/wild-ones#chorus,"1,16,3,67"
Callaway and Rosta,Stars of the Night,Chorus,http://www.hooktheory.com/theorytab/view/callaway-and-rosta/stars-of-the-night#chorus,"1,16,27,6"
Mark Mothersbaugh,The Sims 2 - Makeover,Intro and Verse,http://www.hooktheory.com/theorytab/view/mark-mothersbaugh/the-sims-2---makeover#intro-and-verse,"1,16,47,1"
Twenty One Pilots,Tear In My Heart,Bridge,http://www.hooktheory.com/theorytab/view/twenty-one-pilots/tear-in-my-heart#bridge,"1,16,47,1"
Saves The Day,Wednesday The Third,Verse,http://www.hooktheory.com/theorytab/view/saves-the-day/wednesday-the-third#verse,"1,16,47,1"
DIIV,Dopamine,Verse,http://www.hooktheory.com/theorytab/view/diiv/dopamine#verse,"1,16,47,6"
Mu's,Love Live - Snow halation,Chorus,http://www.hooktheory.com/theorytab/view/mus/love-live---snow-halation#chorus,"1,16,47,5"
Aerosmith,Cryin',Pre-Chorus,http://www.hooktheory.com/theorytab/view/aerosmith/cryin#pre-chorus,"4,1,4,1"
Tim McMorris,Overwhelmed,Pre-Chorus,http://www.hooktheory.com/theorytab/view/tim-mcmorris/overwhelmed#pre-chorus,"4,1,4,1"
The Bird and the Bee,Polite Dance Song,Chorus,http://www.hooktheory.com/theorytab/view/the-bird-and-the-bee/polite-dance-song#chorus,"4,1,4,1"
Israel Kamakawiwoole,Somewhere Over the Rainbow,Verse,http://www.hooktheory.com/theorytab/view/israel-kamakawiwoole/somewhere-over-the-rainbow#verse,"4,1,4,1"
Ween,Transdermal Celebration,Verse,http://www.hooktheory.com/theorytab/view/ween/transdermal-celebration#verse,"4,1,4,1"
U2,Tryin To Throw Your Arms Around The World,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/u2/tryin-to-throw-your-arms-around-the-world#verse-and-pre-chorus,"4,1,4,1"
Oyuugi Wagamama Dan x PaRADEiS,Liverty,Chorus,http://www.hooktheory.com/theorytab/view/oyuugi-wagamama-dan-x-paradeis/liverty#chorus,"4,1,4,1"
Counting Crows,Accidentally in Love,Verse,http://www.hooktheory.com/theorytab/view/counting-crows/accidentally-in-love#verse,"4,1,4,6"
Tom Waits,Martha,Intro,http://www.hooktheory.com/theorytab/view/tom-waits/martha#intro,"4,1,4,6"
Aqualung,Brighter Than Sunshine,Chorus,http://www.hooktheory.com/theorytab/view/aqualung/brighter-than-sunshine#chorus,"4,1,4,6"
Dustin Kensrue,Rejoice,Verse,http://www.hooktheory.com/theorytab/view/dustin-kensrue/rejoice#verse,"4,1,4,6"
Flo Rida,Club Can't Handle Me,Chorus,http://www.hooktheory.com/theorytab/view/flo-rida/club-cant-handle-me#chorus,"4,1,4,6"
Axwell and Ingrosso,Something New ,Chorus,http://www.hooktheory.com/theorytab/view/axwell-and-ingrosso/something-new-#chorus,"4,1,4,6"
Lucky Boys Confusion,Bossman,Chorus,http://www.hooktheory.com/theorytab/view/lucky-boys-confusion/bossman#chorus,"4,1,4,6"
Demi Lovato,Stone Cold,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/demi-lovato/stone-cold#verse-and-pre-chorus,"4,1,4,6"
Panic At The Disco,That Green Gentleman,Intro and Verse,http://www.hooktheory.com/theorytab/view/panic-at-the-disco/that-green-gentleman#intro-and-verse,"4,1,4,6"
Adam Lambert,Whataya Want from Me,Verse,http://www.hooktheory.com/theorytab/view/adam-lambert/whataya-want-from-me#verse,"4,1,4,6"
Singularity,Alone - Au5 and Fractal remix,Intro,http://www.hooktheory.com/theorytab/view/singularity/alone---au5-and-fractal-remix#intro,"4,1,4,6"
Disney,Can You Feel The Love Tonight,Chorus,http://www.hooktheory.com/theorytab/view/disney/can-you-feel-the-love-tonight#chorus,"4,1,4,5"
Vitamin C,Friends Forever,Chorus,http://www.hooktheory.com/theorytab/view/vitamin-c/friends-forever#chorus,"4,1,4,5"
The Beatles,All Together Now,Pre-Chorus,http://www.hooktheory.com/theorytab/view/the-beatles/all-together-now#pre-chorus,"4,1,4,5"
The Aprils,Magical Girls,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/the-aprils/magical-girls#verse-and-pre-chorus,"4,1,4,5"
Green Day,Stray Heart,Verse,http://www.hooktheory.com/theorytab/view/green-day/stray-heart#verse,"4,1,4,5"
Buddy Holly,Maybe Baby,Chorus,http://www.hooktheory.com/theorytab/view/buddy-holly/maybe-baby#chorus,"4,1,4,5"
Evermore,Running,Verse,http://www.hooktheory.com/theorytab/view/evermore/running#verse,"4,1,4,5"
Tamas Wells,Valder Fields,Verse,http://www.hooktheory.com/theorytab/view/tamas-wells/valder-fields#verse,"4,1,4,5"
Stacie Orrico,Promise,Verse,http://www.hooktheory.com/theorytab/view/stacie-orrico/promise#verse,"4,1,4,5"
Traveling Wilburys,Handle With Care,Bridge,http://www.hooktheory.com/theorytab/view/traveling-wilburys/handle-with-care#bridge,"4,1,4,5"
Bad Lip Reading,Russian Unicorn,Chorus,http://www.hooktheory.com/theorytab/view/bad-lip-reading/russian-unicorn#chorus,"4,1,4,5"
The Beatles,Revolution,Chorus,http://www.hooktheory.com/theorytab/view/the-beatles/revolution#chorus,"4,1,4,5"
Wet Wet Wet,Love Is All Around,Chorus,http://www.hooktheory.com/theorytab/view/wet-wet-wet/love-is-all-around#chorus,"4,1,4,2"
Elton John,Don't Let The Sun Go Down On Me,Intro,http://www.hooktheory.com/theorytab/view/elton-john/dont-let-the-sun-go-down-on-me#intro,"4,1,4,2"
Radiohead,Motion Picture Soundtrack,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/radiohead/motion-picture-soundtrack#verse-and-pre-chorus,"4,1,4,3"
The Gregory Brothers,Feel The Bern,Chorus,http://www.hooktheory.com/theorytab/view/the-gregory-brothers/feel-the-bern#chorus,"4,1,4,3"
Nathan Ford,Funky Freeway,Verse,http://www.hooktheory.com/theorytab/view/nathan-ford/funky-freeway#verse,"4,1,4,27"
Toru Minegishi,Splatoon - Split and Splat,Verse,http://www.hooktheory.com/theorytab/view/toru-minegishi/splatoon---split-and-splat#verse,"4,1,4,27"
Weezer,No One Else,Intro and Verse,http://www.hooktheory.com/theorytab/view/weezer/no-one-else#intro-and-verse,"4,1,4,16"
Yuko Takehara,Mega Man 6 - Tomahawk Man Stage,Bridge,http://www.hooktheory.com/theorytab/view/yuko-takehara/mega-man-6---tomahawk-man-stage#bridge,"4,1,4,16"
Wallpaper,BEST SONG EVERRR,Pre-Chorus,http://www.hooktheory.com/theorytab/view/wallpaper/best-song-everrr#pre-chorus,"4,1,4,16"
Harry McClintock,Big Rock Candy Mountain,Verse,http://www.hooktheory.com/theorytab/view/harry-mcclintock/big-rock-candy-mountain#verse,"4,1,4,16"
Koji Kondo,Super Mario 64 - File Select,Verse,http://www.hooktheory.com/theorytab/view/koji-kondo/super-mario-64---file-select#verse,"4,1,4,16"
Daya,Hide Away,Chorus,http://www.hooktheory.com/theorytab/view/daya/hide-away#chorus,"4,1,6,1"
Truth,Left Swipe Dat,Intro,http://www.hooktheory.com/theorytab/view/truth/left-swipe-dat#intro,"4,1,6,4"
Green Day,Minority,Bridge,http://www.hooktheory.com/theorytab/view/green-day/minority#bridge,"4,1,6,4"
AM Taxi,Charissa,Chorus,http://www.hooktheory.com/theorytab/view/am-taxi/charissa#chorus,"4,1,6,4"
Avicii,Broken Arrows,Intro and Verse,http://www.hooktheory.com/theorytab/view/avicii/broken-arrows#intro-and-verse,"4,1,6,4"
Pendulum,Encoder,Chorus Lead-Out,http://www.hooktheory.com/theorytab/view/pendulum/encoder#chorus-lead-out,"4,1,6,4"
marny kennedy,It's My Life,Chorus,http://www.hooktheory.com/theorytab/view/marny-kennedy/its-my-life#chorus,"4,1,6,4"
Thomas Rhett,Die A Happy Man,Chorus,http://www.hooktheory.com/theorytab/view/thomas-rhett/die-a-happy-man#chorus,"4,1,6,4"
Foo Fighters,Everlong,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/foo-fighters/everlong#pre-chorus-and-chorus,"4,1,6,4"
Beck,Blue Moon,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/beck/blue-moon#verse-and-pre-chorus,"4,1,6,4"
Daya,Sit Still Look Pretty,Verse,http://www.hooktheory.com/theorytab/view/daya/sit-still-look-pretty#verse,"4,1,6,4"
Gwen Stefani,Baby Don't Lie,Chorus,http://www.hooktheory.com/theorytab/view/gwen-stefani/baby-dont-lie#chorus,"4,1,6,4"
Demi Lovato,Give Your Heart A Break,Bridge,http://www.hooktheory.com/theorytab/view/demi-lovato/give-your-heart-a-break#bridge,"4,1,6,5"
Creedence Clearwater Revival,Lookin' Out My Back Door,Bridge,http://www.hooktheory.com/theorytab/view/creedence-clearwater-revival/lookin-out-my-back-door#bridge,"4,1,6,5"
David Bowie,Lady Stardust,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/david-bowie/lady-stardust#verse-and-pre-chorus,"4,1,6,5"
Steve Winwood,Higher Love,Chorus,http://www.hooktheory.com/theorytab/view/steve-winwood/higher-love#chorus,"4,1,6,5"
Capital Cities,Safe and Sound,Verse,http://www.hooktheory.com/theorytab/view/capital-cities/safe-and-sound#verse,"4,1,6,5"
Matt and Kim,Daylight,Intro,http://www.hooktheory.com/theorytab/view/matt-and-kim/daylight#intro,"4,1,6,5"
U2,Where The Streets Have No Name,Intro,http://www.hooktheory.com/theorytab/view/u2/where-the-streets-have-no-name#intro,"4,1,6,5"
Radiohead,Nude,Pre-Chorus,http://www.hooktheory.com/theorytab/view/radiohead/nude#pre-chorus,"4,1,6,5"
Animusic,Heavy Light,Intro,http://www.hooktheory.com/theorytab/view/animusic/heavy-light#intro,"4,1,6,5"
Tracy Chapman,Fast Car,Intro,http://www.hooktheory.com/theorytab/view/tracy-chapman/fast-car#intro,"4,1,6,5"
Saves The Day,Freakish,Chorus,http://www.hooktheory.com/theorytab/view/saves-the-day/freakish#chorus,"4,1,6,5"
Guster,Barrel Of A Gun,Verse,http://www.hooktheory.com/theorytab/view/guster/barrel-of-a-gun#verse,"4,1,6,2"
Chuck Berry,Maybellene,Chorus,http://www.hooktheory.com/theorytab/view/chuck-berry/maybellene#chorus,"4,1,5,1"
John Mayer,Badge and Gun,Chorus,http://www.hooktheory.com/theorytab/view/john-mayer/badge-and-gun#chorus,"4,1,5,1"
Nick Cave and the Bad Seeds,The Ship Song,Chorus,http://www.hooktheory.com/theorytab/view/nick-cave-and-the-bad-seeds/the-ship-song#chorus,"4,1,5,1"
Chuck Berry,Johnny B Goode,Chorus,http://www.hooktheory.com/theorytab/view/chuck-berry/johnny-b-goode#chorus,"4,1,5,1"
Bob Dylan,Don't Think Twice It's Alright,Chorus,http://www.hooktheory.com/theorytab/view/bob-dylan/dont-think-twice-its-alright#chorus,"4,1,5,1"
Annie Lennox,Into The West,Chorus,http://www.hooktheory.com/theorytab/view/annie-lennox/into-the-west#chorus,"4,1,5,1"
Led Zeppelin,Stairway to Heaven,Intro,http://www.hooktheory.com/theorytab/view/led-zeppelin/stairway-to-heaven#intro,"4,1,5,4"
Bruce Hornsby,The Way It Is,Intro,http://www.hooktheory.com/theorytab/view/bruce-hornsby/the-way-it-is#intro,"4,1,5,4"
The Human League,Don't You Want Me,Verse,http://www.hooktheory.com/theorytab/view/the-human-league/dont-you-want-me#verse,"4,1,5,4"
Panama,Always,Chorus,http://www.hooktheory.com/theorytab/view/panama/always#chorus,"4,1,5,4"
Lana Del Rey,Radio,Verse,http://www.hooktheory.com/theorytab/view/lana-del-rey/radio#verse,"4,1,5,4"
Jimi Hendrix,Bold as love,Chorus,http://www.hooktheory.com/theorytab/view/jimi-hendrix/bold-as-love#chorus,"4,1,5,4"
Brad Paisley and Alison Krauss,Whiskey Lullaby,Chorus,http://www.hooktheory.com/theorytab/view/brad-paisley-and-alison-krauss/whiskey-lullaby#chorus,"4,1,5,4"
A-ha,Take On Me,Chorus,http://www.hooktheory.com/theorytab/view/a-ha/take-on-me#chorus,"4,1,5,4"
Mat Zo and Arty,Mozart,Chorus,http://www.hooktheory.com/theorytab/view/mat-zo-and-arty/mozart#chorus,"4,1,5,4"
Michael Walthius,Dreaming in Stereo - Under The Moon,Chorus,http://www.hooktheory.com/theorytab/view/michael-walthius/dreaming-in-stereo---under-the-moon#chorus,"4,1,5,4"
ABBA,So Long,Chorus,http://www.hooktheory.com/theorytab/view/abba/so-long#chorus,"4,1,5,4"
Chase Holfelder,I Want You to Want Me in Minor Key,Pre-Chorus,http://www.hooktheory.com/theorytab/view/chase-holfelder/i-want-you-to-want-me-in-minor-key#pre-chorus,"4,1,5,4"
Nick Sparkle,Cassiopeia - David Mayne Remix,Chorus,http://www.hooktheory.com/theorytab/view/nick-sparkle/cassiopeia---david-mayne-remix#chorus,"4,1,5,4"
Shifter feat Fibra,Let It Go,Verse,http://www.hooktheory.com/theorytab/view/shifter-feat-fibra/let-it-go#verse,"4,1,5,4"
Green Day,American Idiot,Verse,http://www.hooktheory.com/theorytab/view/green-day/american-idiot#verse,"4,1,5,4"
Weird Al Yankovic,Stop Forwarding That Crap To Me,Intro,http://www.hooktheory.com/theorytab/view/weird-al-yankovic/stop-forwarding-that-crap-to-me#intro,"4,1,5,4"
Adam Buxton,Counting Song,Chorus,http://www.hooktheory.com/theorytab/view/adam-buxton/counting-song#chorus,"4,1,5,4"
The Script,The Man Who Can't Be Moved,Chorus Lead-Out,http://www.hooktheory.com/theorytab/view/the-script/the-man-who-cant-be-moved#chorus-lead-out,"4,1,5,4"
Daze,Sea Of Love -Remix-,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/daze/sea-of-love--remix-#verse-and-pre-chorus,"4,1,5,4"
The Mighty Mighty Bosstones,They Will Need Music,Verse,http://www.hooktheory.com/theorytab/view/the-mighty-mighty-bosstones/they-will-need-music#verse,"4,1,5,4"
Chicago,25 or 6 to 4,Chorus,http://www.hooktheory.com/theorytab/view/chicago/25-or-6-to-4#chorus,"4,1,5,4"
Electric Light Orchestra,Do Ya,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/electric-light-orchestra/do-ya#pre-chorus-and-chorus,"4,1,5,4"
Cloud Nothings,I'm Not Part of Me,Chorus,http://www.hooktheory.com/theorytab/view/cloud-nothings/im-not-part-of-me#chorus,"4,1,5,4"
Aage Aleksandersen,Norge Mitt Norge,Chorus,http://www.hooktheory.com/theorytab/view/aage-aleksandersen/norge-mitt-norge#chorus,"4,1,5,4"
Bruce Hornsby,The Way It Is,Verse,http://www.hooktheory.com/theorytab/view/bruce-hornsby/the-way-it-is#verse,"4,1,5,4"
Madonna,The Power Of Goodbye,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/madonna/the-power-of-goodbye#verse-and-pre-chorus,"4,1,5,4"
Lynyrd Skynyrd,Tuesday's Gone,Intro,http://www.hooktheory.com/theorytab/view/lynyrd-skynyrd/tuesdays-gone#intro,"4,1,5,4"
Lynyrd Skynyrd,Tuesday's Gone,Chorus,http://www.hooktheory.com/theorytab/view/lynyrd-skynyrd/tuesdays-gone#chorus,"4,1,5,4"
Billy Squier,Lonely Is the Night,Verse,http://www.hooktheory.com/theorytab/view/billy-squier/lonely-is-the-night#verse,"4,1,5,4"
Jason Derulo,Ridin' Solo,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/jason-derulo/ridin-solo#verse-and-pre-chorus,"4,1,5,4"
Little Richard,Long Tall Sally,Verse,http://www.hooktheory.com/theorytab/view/little-richard/long-tall-sally#verse,"4,1,5,4"
Elvis Presley,Hound Dog,Verse,http://www.hooktheory.com/theorytab/view/elvis-presley/hound-dog#verse,"4,1,5,4"
Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,Verse,http://www.hooktheory.com/theorytab/view/jerry-lee-lewis/whole-lotta-shakin-goin-on#verse,"4,1,5,4"
Little Richard,Tutti Frutti,Chorus,http://www.hooktheory.com/theorytab/view/little-richard/tutti-frutti#chorus,"4,1,5,4"
Nightwish,Amaranth,Outro,http://www.hooktheory.com/theorytab/view/nightwish/amaranth#outro,"4,1,5,4"
Bob Marley,Three Little Birds,Verse,http://www.hooktheory.com/theorytab/view/bob-marley/three-little-birds#verse,"4,1,5,4"
Blink 182,First Date,Verse,http://www.hooktheory.com/theorytab/view/blink-182/first-date#verse,"4,1,5,4"
Kelly Clarkson,Already Gone,Chorus,http://www.hooktheory.com/theorytab/view/kelly-clarkson/already-gone#chorus,"4,1,5,6"
Taylor Swift,Mine,Chorus,http://www.hooktheory.com/theorytab/view/taylor-swift/mine#chorus,"4,1,5,6"
Train,Drive By,Chorus,http://www.hooktheory.com/theorytab/view/train/drive-by#chorus,"4,1,5,6"
RIO feat Nicco,Party Shaker,Intro,http://www.hooktheory.com/theorytab/view/rio-feat-nicco/party-shaker#intro,"4,1,5,6"
Mike Candys,Brand New Day,Intro,http://www.hooktheory.com/theorytab/view/mike-candys/brand-new-day#intro,"4,1,5,6"
Mike Candys,Brand New Day,Chorus,http://www.hooktheory.com/theorytab/view/mike-candys/brand-new-day#chorus,"4,1,5,6"
The Veronicas,Everything I'm Not,Chorus,http://www.hooktheory.com/theorytab/view/the-veronicas/everything-im-not#chorus,"4,1,5,2"
The Veronicas,4ever,Chorus,http://www.hooktheory.com/theorytab/view/the-veronicas/4ever#chorus,"4,1,5,2"
Jessica Folker,Tell Me What You Like,Chorus,http://www.hooktheory.com/theorytab/view/jessica-folker/tell-me-what-you-like#chorus,"4,1,5,3"
Jake Kaufman,Shovel Knight - The Fateful Return,Verse,http://www.hooktheory.com/theorytab/view/jake-kaufman/shovel-knight---the-fateful-return#verse,"4,1,5,47"
Wolfgang Amadeus Mozart,Der Holle Rache kocht in meinem Herzen,Chorus,http://www.hooktheory.com/theorytab/view/wolfgang-amadeus-mozart/der-holle-rache-kocht-in-meinem-herzen#chorus,"4,1,5,16"
INXS,Beautiful Girl,Chorus,http://www.hooktheory.com/theorytab/view/inxs/beautiful-girl#chorus,"4,1,2,1"
