artist,song,section,url,chord_progression
Traveling Wilburys,Handle With Care,Intro and Verse,http://www.hooktheory.com/theorytab/view/traveling-wilburys/handle-with-care#intro-and-verse,"1,4,1,6"
the Sing Team,Satisfied in You,Chorus,http://www.hooktheory.com/theorytab/view/the-sing-team/satisfied-in-you#chorus,"1,4,1,6"
Jimi Hendrix,One Rainy Wish,Chorus,http://www.hooktheory.com/theorytab/view/jimi-hendrix/one-rainy-wish#chorus,"1,4,1,6"
Grace Potter,Something that I Want,Chorus,http://www.hooktheory.com/theorytab/view/grace-potter/something-that-i-want#chorus,"1,4,1,6"
Peter Paul and Mary,Puff The Magic Dragon,Verse,http://www.hooktheory.com/theorytab/view/peter-paul-and-mary/puff-the-magic-dragon#verse,"1,4,1,6"
Scott McKenzie,San Francisco,Chorus,http://www.hooktheory.com/theorytab/view/scott-mckenzie/san-francisco#chorus,"1,4,1,6"
Thomas Newman,Nemo Egg - Finding Nemo,Instrumental,http://www.hooktheory.com/theorytab/view/thomas-newman/nemo-egg---finding-nemo#instrumental,"1,4,1,6"
Marcus Werner,Octavia,Bridge,http://www.hooktheory.com/theorytab/view/marcus-werner/octavia#bridge,"1,4,1,6"
David Guetta ft Akon,Sexy Bitch,Pre-Chorus,http://www.hooktheory.com/theorytab/view/david-guetta-ft-akon/sexy-bitch#pre-chorus,"1,4,1,6"
Mr Big,To Be With You,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/mr-big/to-be-with-you#verse-and-pre-chorus,"1,4,1,6"
The Gaslight Anthem,The Spirit of Jazz,Verse,http://www.hooktheory.com/theorytab/view/the-gaslight-anthem/the-spirit-of-jazz#verse,"1,4,1,6"
Hans Zimmer,The Lion King - This Land,Intro,http://www.hooktheory.com/theorytab/view/hans-zimmer/the-lion-king---this-land#intro,"1,4,1,6"
The Lumineers,Stubborn Love,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/the-lumineers/stubborn-love#verse-and-pre-chorus,"1,4,1,6"
Brooke Fraser,Something In The Water,Verse,http://www.hooktheory.com/theorytab/view/brooke-fraser/something-in-the-water#verse,"1,4,1,6"
Brooke Fraser,Something In The Water,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/brooke-fraser/something-in-the-water#verse-and-pre-chorus,"1,4,1,6"
Wiz Khalifa,See You Again ft Charlie Puth,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/wiz-khalifa/see-you-again-ft-charlie-puth#pre-chorus-and-chorus,"1,4,1,6"
Jackson Browne,Running On Empty,Chorus,http://www.hooktheory.com/theorytab/view/jackson-browne/running-on-empty#chorus,"1,4,1,6"
Bloc Party,The Healing,Intro and Verse,http://www.hooktheory.com/theorytab/view/bloc-party/the-healing#intro-and-verse,"1,4,1,6"
Paul and Storm,Opening Band,Verse,http://www.hooktheory.com/theorytab/view/paul-and-storm/opening-band#verse,"1,4,1,6"
Florence and the Machine,Shake It Out,Intro and Verse,http://www.hooktheory.com/theorytab/view/florence-and-the-machine/shake-it-out#intro-and-verse,"1,4,1,6"
The Shins,Girl Inform Me,Chorus,http://www.hooktheory.com/theorytab/view/the-shins/girl-inform-me#chorus,"1,4,1,6"
Kygo ft Maty Noyes,Stay,Instrumental,http://www.hooktheory.com/theorytab/view/kygo-ft-maty-noyes/stay#instrumental,"1,4,1,6"
The Connells,'74-'75,Verse,http://www.hooktheory.com/theorytab/view/the-connells/74-75#verse,"1,4,1,6"
Ryn Weaver,The Fool,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/ryn-weaver/the-fool#verse-and-pre-chorus,"1,4,1,6"
Robyn,Call Your Girlfriend,Chorus,http://www.hooktheory.com/theorytab/view/robyn/call-your-girlfriend#chorus,"1,4,1,6"
Lady Gaga,Til It Happens To You,Intro,http://www.hooktheory.com/theorytab/view/lady-gaga/til-it-happens-to-you#intro,"1,4,1,6"
Glaze,Tough Luck,Verse,http://www.hooktheory.com/theorytab/view/glaze/tough-luck#verse,"1,4,1,6"
Nero,The Thrill,Intro,http://www.hooktheory.com/theorytab/view/nero/the-thrill#intro,"1,4,1,6"
The Monkees,Daydream Believer,Chorus,http://www.hooktheory.com/theorytab/view/the-monkees/daydream-believer#chorus,"1,4,1,6"
Dire Straits,Skateaway,Verse,http://www.hooktheory.com/theorytab/view/dire-straits/skateaway#verse,"1,4,1,5"
Don McLean,American Pie,Chorus,http://www.hooktheory.com/theorytab/view/don-mclean/american-pie#chorus,"1,4,1,5"
James Rich and Boots Randolph,Yakety Sax,Verse,http://www.hooktheory.com/theorytab/view/james-rich-and-boots-randolph/yakety-sax#verse,"1,4,1,5"
Johnny Cash,I Walk The Line,Verse,http://www.hooktheory.com/theorytab/view/johnny-cash/i-walk-the-line#verse,"1,4,1,5"
Miller 64,Living The Dream,Verse,http://www.hooktheory.com/theorytab/view/miller-64/living-the-dream#verse,"1,4,1,5"
Neutral Milk Hotel,King of Carrot Flowers,Verse,http://www.hooktheory.com/theorytab/view/neutral-milk-hotel/king-of-carrot-flowers#verse,"1,4,1,5"
Radiohead,Black Star,Chorus,http://www.hooktheory.com/theorytab/view/radiohead/black-star#chorus,"1,4,1,5"
The Beatles,Hey Jude,Verse,http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude#verse,"1,4,1,5"
Afroman,Because I Got High,Verse,http://www.hooktheory.com/theorytab/view/afroman/because-i-got-high#verse,"1,4,1,5"
Creedence Clearwater Revival,Down On The Corner,Chorus,http://www.hooktheory.com/theorytab/view/creedence-clearwater-revival/down-on-the-corner#chorus,"1,4,1,5"
Creedence Clearwater Revival,Down On The Corner,Verse,http://www.hooktheory.com/theorytab/view/creedence-clearwater-revival/down-on-the-corner#verse,"1,4,1,5"
